9.839825153046567, 126.13434376983679,,,,
9.765542712339185, 126.16769389122794,,,,
8.011442145915046,98.8378143,,,,
57.48074973858701,-4.228695314,"Best Bar, Inverness", Scotland, UK,
57.47699959730731,-4.227609429,Ness Bridge, Inverness, Scotland, UK
57.36487615640844,-4.391239364,,,,
56.851913098088666,-4.998963801,Nevis Range Mountain Park, Torlundy, Scotland,
56.703836599210284,-3.736413545,,,,
56.66764118225756,-4.986663882,Three Sisters viewpoint, Glencoe,,
56.665370778264965,-4.978639608,driving through Glencoe,,,
56.56801286295163,-4.75412587,Loch Tully viewpoint, Bridge of Orchy,,
56.12210212845672,-3.970171964,M9 view of Stirling Castle, Scotland, UK,
55.951861264921874,-3.195664443,,,,
55.66927365220488,-1.801612652,,,,
55.41449994750861,-1.708075968,,,,
53.34268666083349,-6.271814944,,,,
53.34207937970234,-6.309597395,Kilmainham Gaol museum, Dublin, IE,
53.341970955106646,-6.308031656,Richmond Tower, Dublin, IE,
53.339180725752435,-6.257206204,,,,
52.51826630084668, 13.400816317117881,,,,
52.44706963956393, 20.651849702085418,Modlin Airport, 40 km north of Warsaw, PL,
52.44572675343299, 20.650645737844723,Modlin Airport, 40 km north of Warsaw, PL,
52.25245858788551, 21.007687818858155,Nowego Miasta (New Town), Warsaw, PL,
52.25050367971961, 21.010432761674743,Warsaw Barbican, Warsaw,,
52.24373615276303, 21.027126607010718,along Vistula River, Warsaw, PL,
52.24342107836042, 21.02473318986322,Warsaw University Library Garden, PL,,
52.21374060384488, 21.03660320172548,,,,
52.121605206462625, 4.986548992007356,,,,
51.513111694671984,-0.094185234,St. Paul's Cathedral in the distance, London, UK,
51.221339092268494, 4.399976552113395,,,,
50.09117047638509, 14.40198852651591,St. Vitus Cathedral, Prague,,
50.08784419090551, 14.426440637340214,Hotel Paris, Prague,,
50.087763782188645, 14.404446155955924,Malostranske Namesti Square, Prague,,
50.08672878657059, 14.420258531345057,Old Town Square, Prague,,
50.08646693889863, 14.411618662734671,Charles Bridge 1, Prague,,
50.08631481630066, 14.412907152973427,Charles Bridge 2, Prague,,
50.08419012804757, 14.40877336479561,Yellow penguins at Museum Kampa, Prague,,
50.07992824523161, 14.429537869735402,Wenceslas Square Prague,,,
50.05143103341959, 8.588352529095973,,,,
49.45426042263565, 11.077046086015793,,,,
49.20035457429912, 16.598644775545868,Masaryk University, Brno, CZ,
49.19219270457625, 16.609297231559374,,,,
48.85684437115473, 2.296731472896236,,,,
48.80458308509139, 2.1211970209740256,,,,
48.581300519140065, 7.7516973903472675,,,,
48.42440282643193, 10.300846545932822,,,,
48.39846823799901, 9.991268862900407,,,,
48.395850981258945, 9.993472945713762,Stadtmauer - Ulm, Germany,,
48.39521752021802, 9.990091796647949,Fischergasse 23 - Ulm, Germany,,
48.199123273559735, 16.371274387966576,,,,
48.174036276732544, 11.549935368200511,,,,
48.16933574888394, 17.198255572225023,Bratislava Airport, SK,,
48.14066461641538, 17.106831619064575,Bluebell Hotel, 22 Paulínyho, Bratislava, SK
48.13826213896112, 17.10460404921544,Most SNP (UFO Bridge), Bratislava, SK,
48.074331336870856, 7.359818994477291,,,,
47.97232607556357, 13.105580178838286,,,,
47.79736547973661, 13.045917950518275,,,,
47.77416024740382, 12.139023989727708,,,,
47.767055055508656,13.36416169,,,,
47.74645491544959, 13.06721209058571,,,,
47.73943882946703, 13.441906947779797,,,,
47.56398386419698, 13.345565401753662,,,,
47.56239506831765, 13.649448998657252,,,,
47.55838328070953, 10.750223438558034,,,,
47.542580018228215, 15.057616280947727,,,,
47.53274618450401, 13.49777906573063,,,,
47.502337593119634, 19.058798680416185,,,,
47.500260812263164, 19.05482057437007,,,,
47.49781246138042, 19.039938605101923,,,,
47.427981613586404, 13.644335723486284,,,,
47.42287122890824, 13.624040112955273,,,,
47.07391643384856, 15.391384752150035,,,,
47.00421593764007, 15.932275667580216,,,,
46.979447146277735, 16.299796063294014,Highway 8, Szentgotthárd, HU,
46.97934691183675, 16.28498714885095,Highway 8, Szentgotthárd, HU,
46.97510666638803, 16.377367316618493,Highway 8, Rönök, HU,
46.95417524472106, 16.27384183827003,Szentgotthárd, HU,,
46.94343681138752, 14.690907301904137,,,,
46.917078786985286, 12.335242429204412,,,,
46.893567586486746, 15.265725801555593,,,,
46.88766656613091, 12.199598836415047,,,,
46.82685943768367, 12.827384701719254,Aguntum Roman ruins near Lienz, AT,,
46.72655205023584, 15.172337218154029,,,,
46.67899636555214, 15.039259227983315,,,,
46.55733454504674, 15.637588562850967,Drava River @Jack and Joe restaurant, Maribor,,
46.28467075332671, 13.996280904206824,,,,
46.27895588683451, 13.867586212255533,Hostel Pod Voglom - Lake Bohinj, Slovenia,,
46.27876806254547, 13.886311433792187,swimming - Lake Bohinj, Slovenia ,,
46.277940747911195, 13.886229212173344,Lake Bohinj, Slovenia,,
46.24163209553655, 14.009726018796066,,,,
46.237753531407556, 15.63950212753707,Grand Hotel Rogaška, Rogaška Slatina, SI,
46.050989697652945, 14.506463516658732,,,,
45.83007236917933, 15.978231265480565,Ksaverska cesta, Zagreb, HR,
45.81342228240679, 15.978603375994323,Zagreb Welcomes You Model, Zagreb, HR,
45.81025747962246, 15.969398727994967,Croatian National Theatre, Zagreb, HR,
45.54923537315813, 11.549621694492739,Palazzo Chiericati - Vicenza, Italy,,
45.54767675398678, 11.546106031821132,Palazzo del Monte di Pietà - Vicenza, Italy,,
45.547349201056115, 11.546410708925519,Piazza dei Signori - Vicenza, Italy,,
45.484667954288895, 12.233137104399702,Via Piave bus stop, Mestre,,
