lat,lon,location
42.14569,44.76477,"Dusheti Municipality, Georgia"
42.17916,1.31763,"Coll de Nargó, Spain"
48.44511,1.48761,"Chartres, France"
54.88776,23.93474,"Kaunas, Lithuania"
51.75235,-0.33857,"St Albans, United Kingdom"
45.45782,12.35796,"Venice, Italy"
49.19443,16.59759,"Brno, Czechia"
50.83603,4.33655,"Saint-Gilles - Sint-Gillis, Belgium"
52.2550128,6.1452349,"Deventer, Netherlands"
44.654,10.93005,"Modena, Italy"
43.74076,7.42585,"Monaco, Monaco"
41.26204,28.73979,"Arnavutköy, Turkey"
57.18906,24.84709,"Krimuldas pagasts, Latvia"
46.91098,18.04626,"Siófok, Hungary"
50.20137,5.31219,"Marche-en-Famenne, Belgium"
55.56786,9.7393,"Fredericia, Denmark"
47.46219,19.14822,"Budapest, Hungary"
8.99763,-79.59185,"Ancón, Panama"
45.30269,-121.6724,"Hood River County, United States"
42.85998,-90.17974,"Mineral Point, United States"
-23.92093,-67.6969,"San Pedro de Atacama, Chile"
43.02781,-87.97167,"Milwaukee, United States"
-33.45451,-70.62807,"Provincia de Santiago, Chile"
4.60865,-74.06612,"Bogota, Colombia"
45.78027,126.61396,"Harbin, China"
11.5649,104.9318,"Khan Daun Penh, Cambodia"
25.9768941,51.0453283,"Al Zubara Fort, Qatar"
30.24126,120.14961,"Hangzhou, China"
43.10873,-71.4771,"Hooksett, United States"
24.78027,51.45964,
18.7879765,98.9935766,"Chiang Mai, Thailand"
32.19662,-110.70578,"Pima County, United States"
27.15778,78.05376,"Agra, India"
42.55591,74.49229,"Alamüdün District, Kyrgyzstan"
32.97058,35.49309,"Safed, Israel"
34.81366,138.22083,"Shimada, Japan"
41.379196,2.17596,"Barcelona, Spain"
-13.53713,-71.94379,"Wanchaq, Peru"
39.7255,21.63186,"Kalabaka, Greece"
44.79831,20.46911,"Belgrade, Serbia"
41.31983,19.82342,"Tirana, Albania"
46.90614,18.0524,"Siófok, Hungary"
40.56414,45.01111,"Sevan peninsula, Armenia"
41.31671,19.82618,"Tirana, Albania"
50.63752,3.04826,"Lille, France"
48.5801,7.74298,"Strasbourg, France"
47.4834222,19.0572583,"Budapest, Hungary"
51.4735,-0.463442,"London, United Kingdom"
41.9018,12.4562,"Crescenzio di Roma, Vatican City"
56.96711,23.77408,"Jūrmala, Latvia"
50.10854,8.6876,"Frankfurt, Germany"
41.38012,2.17538,"Barcelona, Spain"
51.48272,-0.60713,"Windsor, United Kingdom"
50.10934,8.68513,"Frankfurt, Germany"
43.58522,7.12208,"Antibes, France"
50.06729,19.94515,"Krakow, Poland"
52.44243,4.82402,"Zaandam, Netherlands"
50.05064,8.57123,"Frankfurt, Germany"
40.4051072,-3.6873695,"Madrid, Spain"
40.47269,-3.68131,"Madrid, Spain"
44.80682,20.46446,"Belgrade, Serbia"
56.9031944,23.4531972,"Slampes pagasts, Latvia"
49.45837,2.11163,"Tillé, France"
42.505739,1.5211796,"Andorra la Vella, Andorra"
50.0362472,19.1804917,"Brzezinka, Poland"
54.6662472,25.2706556,"Vilnius, Lithuania"
49.89369,2.30325,"Amiens, France"
47.37694,8.53973,"Zurich, Switzerland"
53.13771,-9.70573,"Conamara Municipal District, Ireland"
53.62261,11.4183,"Schwerin, Germany"
51.49294,-0.22461,"London, United Kingdom"
45.43398,12.33914,"Venice, Italy"
44.50718,11.34448,"Bologna, Italy"
48.1839,16.31506,"Vienna, Austria"
55.61057,12.99941,"Malmö, Sweden"
40.9612954,-5.6655993,"Salamanca, Spain"
55.30035,10.85621,"Nyborg Municipality, Denmark"
-22.49511,-68.9073,"Calama, Chile"
54.646685,24.93933,"Trakai, Lithuania"
33.52873,130.55192,"Dazaifu, Japan"
32.1067,-111.00784,"San Xavier, United States"
48.18369,16.31197,"Vienna, Austria"
9.06789,-79.38569,"Tocumen, Panama"
45.01576,-73.08531,"Philipsburg, Canada"
26.20649,127.64538,"Naha, Japan"
-12.02419,-77.10843,"Callao, Peru"
41.9742,-87.88225,"Jefferson Township, United States"
9.48594,123.36956,"Oslob, Philippines"
29.51806,35.4934,"Al Quairah Sub-District, Jordan"
28.472421,-81.473158,"Orlando, United States"
45.51802,-122.70879,"Portland, United States"
4.71189,-74.16811,"Funza, Colombia"
