latitude,longitude,name,,
45.7190122,10.0466087,Point 97,,
45.4412789,10.9884244,Point 98,,
45.6423027,10.599783,Point 99,,
45.8067207,10.7783108,Point 100,,
45.9358081,10.8171129,Point 101,,
45.8827089,10.8480296,Point 102,,
45.607467,10.6856439,Point 103,,
46.5800782,11.6456723,Point 104,,
46.4881524,11.8137131,Point 105,,
45.4384505,12.3340681,Point 106,,
43.932371,12.4578635,Point 107,,
42.768038,12.7654806,Point 108,,
43.138847,12.205895,Point 109,,
42.9626709,12.3654229,Point 110,,
41.8926591,12.4796306,Point 111,,
41.0748387,14.3308849,Point 112,,
41.4657019,13.833639,Point 113,,
40.8482149,14.2704118,Point 114,,
40.6291303,14.4805196,Point 115,,
40.6263272,14.3742203,Point 116,,
40.633563,14.6039126,Point 117,,
40.9948905,17.2123637,Point 118,,
41.2741556,16.4117351,Point 119,,
41.136611,16.759006,Point 120,,
40.6678146,16.6033382,Point 121,,
38.9073179,16.2456347,Point 122,,
38.6782535,15.8958912,Point 123,,
38.6216787,15.8296299,Point 124,,
40.6392079,17.9248721,Point 125,,
40.7839011,17.2478396,Point 126,,
38.5685934,14.8299247,Point 127,,
38.4135332,14.9641757,Point 128,,
38.0572804,15.0287465,Point 129,,
37.8363584,15.2594594,Point 130,,
37.4136792,15.0280636,Point 131,,
38.1128298,13.3416622,Point 132,,
38.1762474,12.738152,Point 133,,
38.0378283,12.5878197,Point 134,,
37.5099789,13.0750074,Point 135,,
37.5787034,14.2685757,Point 136,,
37.8789522,15.1764641,Point 137,,
39.0146737,8.4484762,Point 138,,
39.1638995,8.5240072,Point 139,,
39.1396718,8.6208242,Point 140,,
39.295277,8.5290577,Point 141,,
39.8772252,8.4418868,Point 142,,
40.5584654,8.3161049,Point 143,,
40.5793291,8.1568032,Point 144,,
40.8172185,8.4582324,Point 145,,
40.913775,8.7095557,Point 146,,
41.1830815,9.3808964,Point 147,,
41.1205218,9.3657902,Point 148,,
41.2909986,9.3671635,Point 149,,
41.388723,9.1626309,Point 150,,
42.6311974,8.9302308,Point 151,,
42.5735797,9.1630037,Point 152,,
45.6503647,13.7754619,Point 153,,
45.5370461,13.6579033,Point 154,,
45.527592,13.5683849,Point 155,,
44.7803889,14.9003981,Point 156,,
44.3006964,15.4600096,Point 157,,
44.1264755,15.2224303,Point 158,,
43.5168234,16.4344131,Point 159,,
43.9534159,15.4360306,Point 160,,
43.1768609,16.4450058,Point 161,,
46.0589044,14.5068209,Point 162,,
46.4601589,13.7934833,Point 163,,
46.3637161,14.0925295,Point 164,,
48.1892932,16.3706149,Point 165,,
47.7996357,13.0417575,Point 166,,
47.3921608,13.6569919,Point 167,,
47.2519144,13.5172786,Point 168,,
47.4492323,12.3909954,Point 169,,
47.2657216,11.3795283,Point 170,,
47.1549466,10.5683742,Point 171,,
47.1604947,9.8046814,Point 172,,
47.9943379,10.1602219,Point 173,,
47.5551019,10.7319046,Point 174,,
48.1378341,11.5673576,Point 175,,
48.3608758,11.7046415,Point 176,,
49.7292384,13.3758553,Point 177,,
50.0759688,14.4415291,Point 178,,
49.4508284,11.0751901,Point 179,,
49.8993612,10.9055629,Point 180,,
50.1104297,8.670418,Point 181,,
48.7807157,8.0910774,Point 182,,
48.7621833,8.1627436,Point 183,,
48.6742969,8.1002588,Point 184,,
48.6266297,8.0574749,Point 185,,
48.5485076,7.9757641,Point 186,,
48.5696397,7.839465,Point 187,,
50.9420577,6.9588219,Point 188,,
51.2250166,6.7885338,Point 189,,
51.2508106,7.138723,Point 190,,
51.4223614,5.4752081,Point 191,,
